# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-air 17:u 18:T 19:M_local 20:total_p
1.246655478035605169e+00 1.697264616698721806e-01 0.000000000000000000e+00 1.111485929448517880e-05 4.193700154653584811e+00 6.430566894935625832e+00 -8.313309063925610198e-01 0.000000000000000000e+00 4.835836900084849788e+00 1.270577476820615059e+00 3.349809381850958112e-12 3.273659319781088217e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.882798436792572971e+00 4.016392678799491148e-03 5.103254820845132045e+00 2.883764545248501236e+03
1.246625867836793189e+00 1.713844150859710203e-01 0.000000000000000000e+00 1.116098840324214123e-05 4.267186269282085220e+00 6.430437250174951380e+00 -8.129389171939538361e-01 0.000000000000000000e+00 4.935998579295588939e+00 1.272567215103285410e+00 3.365571172980531065e-12 3.289062963134208192e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.891834494563806146e+00 4.028981958651456884e-03 5.093341667213144852e+00 2.910085177706233935e+03
1.246591716219670465e+00 1.730375464144732200e-01 0.000000000000000000e+00 1.127482302447401288e-05 4.394234994010636441e+00 6.427933912012381512e+00 -7.747316799235959284e-01 0.000000000000000000e+00 5.143360053253164033e+00 1.280105732571715338e+00 3.425736287286545982e-12 3.347860985234480682e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.926197654576728979e+00 4.076857641715124318e-03 5.057748733006678599e+00 2.910207574316685168e+03
1.246557564627152948e+00 1.746906765520166993e-01 0.000000000000000000e+00 1.138865764570610138e-05 4.556778959806212725e+00 6.423275790080365866e+00 -7.249515175174519044e-01 0.000000000000000000e+00 5.424156720720199054e+00 1.290925415651997366e+00 3.513335173542016313e-12 3.433469451986659079e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.975872194243361690e+00 4.146065552644124033e-03 5.007304397826680464e+00 2.894414822815258503e+03
1.246530901733924779e+00 1.763383317282228302e-01 0.000000000000000000e+00 1.143837896727933207e-05 4.723124917874535811e+00 6.418201576337937198e+00 -6.754897251301806849e-01 0.000000000000000000e+00 5.715898781746784785e+00 1.301642039365087156e+00 3.601559212997746446e-12 3.519688905530673022e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.025485711861612970e+00 4.215188446006429626e-03 4.958083534255566249e+00 2.879494908141602082e+03
1.246499467028306940e+00 1.779825566227769551e-01 0.000000000000000000e+00 1.154315255980521010e-05 4.882271649953477066e+00 6.413243219900652825e+00 -6.296046487046940143e-01 0.000000000000000000e+00 5.996899746358778316e+00 1.311343422232665867e+00 3.682688105824287388e-12 3.598974458750332388e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.070752805415857267e+00 4.278255783917186278e-03 4.914101035698720032e+00 2.868684068322752410e+03
1.246468032369805856e+00 1.796267790444728285e-01 0.000000000000000000e+00 1.164792615233217234e-05 5.036038630930240956e+00 6.408321306100297043e+00 -5.863133040381167671e-01 0.000000000000000000e+00 6.269085186444882218e+00 1.320144823189358663e+00 3.757336732687929654e-12 3.671927013206350034e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.112111346774398157e+00 4.335877621295136132e-03 4.874531134839716451e+00 2.861712074178506100e+03
1.246441662034011300e+00 1.812670225400039026e-01 0.000000000000000000e+00 1.170432560336064770e-05 5.186280441869521418e+00 6.403328860386721999e+00 -5.444786002798210900e-01 0.000000000000000000e+00 6.536439530627710326e+00 1.328332024954543167e+00 3.827675443418239686e-12 3.740667600663960639e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.150832086642566310e+00 4.389824402360149175e-03 4.837974020362719507e+00 2.856808486555255058e+03
1.246410375790990566e+00 1.829045571093468603e-01 0.000000000000000000e+00 1.180859957893801854e-05 5.333456595239248976e+00 6.398051162630579825e+00 -5.029731035578509646e-01 0.000000000000000000e+00 6.802955555234901475e+00 1.336313796251881625e+00 3.897089013085723990e-12 3.808504089910482154e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.188811717951992364e+00 4.442738650955482989e-03 4.802607713613128659e+00 2.850246978457575096e+03
1.246379089618919078e+00 1.845420879674969372e-01 0.000000000000000000e+00 1.191287355451528095e-05 5.475962627647834147e+00 6.392642925511455410e+00 -4.611568069142260029e-01 0.000000000000000000e+00 7.067731812481002684e+00 1.344230703691636997e+00 3.966762467789323386e-12 3.876594582707500989e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.226707472763060025e+00 4.495536040546860637e-03 4.767972450596202449e+00 2.840565388436363719e+03
1.246351535803272625e+00 1.861764416413700662e-01 0.000000000000000000e+00 1.197701777940732466e-05 5.612150407823879306e+00 6.387503003090562181e+00 -4.187044237893107201e-01 0.000000000000000000e+00 7.326810259196332886e+00 1.351938199546507180e+00 4.035385958401789318e-12 3.943658988819027059e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.263815884630449915e+00 4.547236482674158961e-03 4.734840283892303603e+00 2.829336698147302741e+03
1.246318857423358573e+00 1.878083874361124450e-01 0.000000000000000000e+00 1.208592680226861470e-05 5.741611225467735835e+00 6.382892612881344796e+00 -3.751819155863099220e-01 0.000000000000000000e+00 7.575671916950017071e+00 1.359119694717338955e+00 4.100034283490111825e-12 4.006838563098623937e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.298582758158129735e+00 4.595674630315408488e-03 4.704449206287888430e+00 2.819704772652427891e+03
1.246286179144742823e+00 1.894403281704739594e-01 0.000000000000000000e+00 1.219483582513055525e-05 5.863858584521670636e+00 6.378892291563093231e+00 -3.300265144431843711e-01 0.000000000000000000e+00 7.809807298224319183e+00 1.365502290055727874e+00 4.158067163566786170e-12 4.063553005928016969e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.329636614548995510e+00 4.638939702151486169e-03 4.677710150442852211e+00 2.813861431888290554e+03
1.246256592506386651e+00 1.910694858475949498e-01 0.000000000000000000e+00 1.226707293140825040e-05 5.976844677575983589e+00 6.375575373593619588e+00 -2.834118941389066615e-01 0.000000000000000000e+00 8.018961717181957383e+00 1.370525444994829201e+00 4.204122642909977261e-12 4.108562171360255995e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.354178563175491234e+00 4.673132208130711431e-03 4.656514410527260672e+00 2.815474675898851274e+03
1.246221595198903742e+00 1.926962693108802693e-01 0.000000000000000000e+00 1.238370520908029307e-05 6.084030956193716477e+00 6.373934063142885798e+00 -2.346518740082599586e-01 0.000000000000000000e+00 8.203056820396396276e+00 1.373903311095346247e+00 4.235283517520659678e-12 4.139015121546165399e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.370732693283493120e+00 4.696195869509565274e-03 4.642431400039169986e+00 2.830940455244336590e+03
1.246186598033713233e+00 1.943230461609014026e-01 0.000000000000000000e+00 1.250033748675238995e-05 6.172593344714673691e+00 6.373093061490703093e+00 -1.847296979407850592e-01 0.000000000000000000e+00 8.348732947483194167e+00 1.376069818176197668e+00 4.255350406440307349e-12 4.158626125750591696e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.381371686599059956e+00 4.711018402475131324e-03 4.633318521636682341e+00 2.849238805248056906e+03
1.246154494889331721e+00 1.959472107922699546e-01 0.000000000000000000e+00 1.258071439238714340e-05 6.240157527648984903e+00 6.371484077998140094e+00 -1.321714245274164812e-01 0.000000000000000000e+00 8.464295166612339827e+00 1.378039419804016674e+00 4.273648407300199653e-12 4.176508429573016730e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.391058290238913031e+00 4.724514040409784864e-03 4.624580933659604653e+00 2.857895695975857507e+03
1.246116640243283946e+00 1.975688613833302687e-01 0.000000000000000000e+00 1.270686322008614689e-05 6.243771304899198071e+00 6.368474220692998067e+00 -8.034673147176858710e-02 0.000000000000000000e+00 8.532782715011428820e+00 1.383202825460889684e+00 4.321866326215875468e-12 4.223630933172924653e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.416517957791050719e+00 4.759985137194076843e-03 4.604517084170327124e+00 2.810876170513346096e+03
1.246078785793787169e+00 1.991905035541343960e-01 0.000000000000000000e+00 1.283301204778473025e-05 6.222282050138184140e+00 6.367084939757279294e+00 -2.518298033524146023e-02 0.000000000000000000e+00 8.577452123363880077e+00 1.389211348680365443e+00 4.378431234271959832e-12 4.278910812561393875e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.446264591611285510e+00 4.801428951222035113e-03 4.583272910379826648e+00 2.752602941323752475e+03
