# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-air 17:u 18:T 19:M_local 20:total_p
1.246696744566143877e+00 1.680604158880294463e-01 0.000000000000000000e+00 1.097730336283519147e-05 4.895027954072078025e+00 6.260271904611526494e+00 -1.222935434949587785e+00 0.000000000000000000e+00 6.607344304568238513e+00 1.374674570143119778e+00 4.242419920279184893e-12 4.145989397467503305e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.374518167496734833e+00 4.701469894471492321e-03 4.640082149748425699e+00 2.273699461693634021e+03
1.246655478035605169e+00 1.697264616698721806e-01 0.000000000000000000e+00 1.111485929448517880e-05 5.059329043419272587e+00 6.263045421384069833e+00 -1.170042237831826037e+00 0.000000000000000000e+00 6.879565335356607747e+00 1.379742540748641888e+00 4.289512972248336503e-12 4.192012581940716882e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.399445497770567925e+00 4.736199324575260730e-03 4.617817976837097049e+00 2.303624005916217357e+03
1.246625867836793189e+00 1.713844150859710203e-01 0.000000000000000000e+00 1.116098840324214123e-05 5.226892822068086808e+00 6.266553984572501790e+00 -1.115085640411343615e+00 0.000000000000000000e+00 7.171422862829189171e+00 1.385941457886495698e+00 4.347587309755951224e-12 4.248767591456409685e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.430060222658116942e+00 4.778852586535059337e-03 4.592539828562493653e+00 2.327836333706042296e+03
1.246591716219670465e+00 1.730375464144732200e-01 0.000000000000000000e+00 1.127482302447401288e-05 5.370008858596574619e+00 6.269596813231578913e+00 -1.062268294202570518e+00 0.000000000000000000e+00 7.441010170273288260e+00 1.392811890882471815e+00 4.412562459573776426e-12 4.312266659586443246e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.464151720327869555e+00 4.826349782281581270e-03 4.565549063674067654e+00 2.336199674893573047e+03
1.246557564627152948e+00 1.746906765520166993e-01 0.000000000000000000e+00 1.138865764570610138e-05 5.497740377801014766e+00 6.270131609631416580e+00 -1.009742247450682751e+00 0.000000000000000000e+00 7.693291515598612129e+00 1.399677556471908613e+00 4.478135993564978569e-12 4.376350537610299215e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.498387968019951444e+00 4.874048647670531538e-03 4.537413376072708004e+00 2.332660354347843167e+03
1.246530901733924779e+00 1.763383317282228302e-01 0.000000000000000000e+00 1.143837896727933207e-05 5.618625271594798853e+00 6.269946976458792953e+00 -9.560651894579818011e-01 0.000000000000000000e+00 7.938019938481668092e+00 1.406387754859204753e+00 4.542849274286189741e-12 4.439593724229697483e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.532011637531990544e+00 4.920894052586451128e-03 4.509723805056956358e+00 2.325395689614871571e+03
1.246499467028306940e+00 1.779825566227769551e-01 0.000000000000000000e+00 1.154315255980521010e-05 5.742518666084686529e+00 6.271105873462823332e+00 -9.002541382514053225e-01 0.000000000000000000e+00 8.185359078656729181e+00 1.412640580863014250e+00 4.603710027393374395e-12 4.499071918579061417e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.563488233394632942e+00 4.964748096477534026e-03 4.484788853015280630e+00 2.324383837774854328e+03
1.246468032369805856e+00 1.796267790444728285e-01 0.000000000000000000e+00 1.164792615233217234e-05 5.870744243291014186e+00 6.273372147044762315e+00 -8.418551674992091893e-01 0.000000000000000000e+00 8.435906204011002885e+00 1.418349658803212288e+00 4.659750838758289023e-12 4.553839679402976070e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.592349561834264904e+00 5.004958479127226932e-03 4.462655906337168688e+00 2.330064868877512708e+03
1.246441662034011300e+00 1.812670225400039026e-01 0.000000000000000000e+00 1.170432560336064770e-05 6.005196651106024852e+00 6.275416983540089255e+00 -7.813350980059706741e-01 0.000000000000000000e+00 8.682355233714432075e+00 1.422719147207363477e+00 4.702948010675302509e-12 4.596055572826343248e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.614517449697228102e+00 5.035843379500738043e-03 4.444918653217760252e+00 2.345330901827008347e+03
1.246410375790990566e+00 1.829045571093468603e-01 0.000000000000000000e+00 1.180859957893801854e-05 6.140854364036418822e+00 6.277533518152470293e+00 -7.192727753411262137e-01 0.000000000000000000e+00 8.919268353557324502e+00 1.425982626438307088e+00 4.735384639920487805e-12 4.627755368437466168e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.631118662328379543e+00 5.058972637523070047e-03 4.431053908473884029e+00 2.367670301159894279e+03
