#  1: step
#  2: pseudo-time
#  3: dt
#  4: CFL
#  5: eta
#  6: nRestarts
#  7: nIters
#  8: nFnCalls
#  9: wall-clock, s
#  10: global-residual-abs
# 11: global-residual-rel
#  12: mass-abs
# 13: mass-rel
# 14: x-mom-abs
# 15: x-mom-rel
# 16: y-mom-abs
# 17: y-mom-rel
# 18: energy-abs
# 19: energy-rel
# 20: mass-balance
# 21: linear-solve-residual
# 22: omega
# 23: PC
      20  9.7089230088758353e-03  4.8544615044324196e-04 5.0000000000000000e-01 1.0000000000000000e-02   0   1    99 0.51500000 4.8917142024376524e+04  5.8877617218741163e-01  2.7997903479338993e+02  4.5102647673967067e-01  1.4785939375746575e+03  3.4467734506139830e-01  2.9398683642985856e+02  6.7307003793081796e+08 6.9395802002175833e+03  4.4612985483959805e-01  1.8526356325198972e+00 7.6027402873871533e-03 1.0000000000000000e+00 1 
      40  1.9417846017701013e-02  4.8544615043873374e-04 5.0000000000000000e-01 1.0000000000000000e-02   0   1   177 0.87500000 4.8422887396185666e+04  5.8282722799261155e-01  2.5900587527222763e+02  4.1724019609223045e-01  1.2406713267066002e+03  2.8921483317081542e-01  2.9084285165250367e+02  6.6587202192763197e+08 5.8006932124509458e+03  3.7291339622512648e-01  1.7743305702956860e+00 7.6857951730133879e-03 1.0000000000000000e+00 1 
      60  2.9126769026357743e-02  4.8544615042515985e-04 5.0000000000000000e-01 1.0000000000000000e-02   0   1   253 1.24600000 4.8347959412066208e+04  5.8192538029967833e-01  2.5563945128533183e+02  4.1181712449995217e-01  1.1602976518649264e+03  2.7047880013750170e-01  2.9869203814260720e+02  6.8384239200534296e+08 5.3897101596655375e+03  3.4649222889357228e-01  1.6969801498193997e+00 7.3305482625210059e-03 1.0000000000000000e+00 1 
      80  3.8835692034528718e-02  4.8544615038898409e-04 5.0000000000000000e-01 1.0000000000000000e-02   0   1   328 1.57300000 4.8218085240099805e+04  5.8036218967422670e-01  2.5431540711873188e+02  4.0968418273897361e-01  1.1538541522558041e+03  2.6897674586706460e-01  3.1449180617447223e+02  7.2001527170855618e+08 5.1427121566751612e+03  3.3061328808728085e-01  1.6204167242287013e+00 6.7435369866053647e-03 1.0000000000000000e+00 1 
     100  4.8544615041684815e-02  4.8544615032610898e-04 5.0000000000000000e-01 1.0000000000000000e-02   0   1   403 1.89700000 4.7754837774341991e+04  5.7478645367704828e-01  2.4710223561906176e+02  3.9806427223383162e-01  1.1171996384016293e+03  2.6043215482099497e-01  3.1543820713634489e+02  7.2218201542756414e+08 4.9621612419820476e+03  3.1900607972031508e-01  1.5443444283258343e+00 6.8649303206086221e-03 1.0000000000000000e+00 1 
     120  6.7962461052221715e-02  9.7089230036217741e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3   503 2.41600000 6.1945677905922013e+04  7.4559014716820915e-01  5.4024540205382391e+02  8.7029723651613855e-01  2.1271833154692044e+03  4.9587102922759535e-01  5.8930165218725585e+02  1.3491804266039083e+09 8.4884035746269965e+03  5.4570019299575667e-01  1.4051369488297167e+00 5.0395939408308917e-03 1.0000000000000000e+00 1 
     140  8.7380307054750403e-02  9.7089229997358352e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3   611 2.94600000 6.7197186913297366e+04  8.0879832417146458e-01  5.9592698352600041e+02  9.5999633676920371e-01  2.4358004713414798e+03  5.6781325705854413e-01  7.8744976707216097e+02  1.8028318921630576e+09 9.2347369274260018e+03  5.9368026970641008e-01  1.2364508162955539e+00 5.1121558819409961e-03 1.0000000000000000e+00 1 
     160  1.0679815305264417e-01  9.7089229982407833e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3   721 3.50800000 6.7275306494198419e+04  8.0973858653987696e-01  5.7630254692060396e+02  9.2838275360693345e-01  2.3626172580144548e+03  5.5075340375358806e-01  9.0059215102617713e+02  2.0618664448127706e+09 9.4450887459256683e+03  6.0720331051650966e-01  1.0251536914734951e+00 5.7453853708781229e-03 1.0000000000000000e+00 1 
     180  1.2621599904789019e-01  9.7089229971445573e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3   831 4.03000000 6.7000088694823047e+04  8.0642601193457142e-01  5.7432960777806602e+02  9.2520448780950559e-01  2.3524993342498442e+03  5.4839479872208086e-01  9.3544974302913863e+02  2.1416713811715722e+09 9.5866760780204349e+03  6.1630563862456778e-01  8.0434703947756370e-01 6.0962211152550683e-03 9.9887382514381307e-01 1 
     200  1.4563384504088145e-01  9.7089229955075031e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3   942 4.57200000 6.6156755159038643e+04  7.9627548656600056e-01  5.5136612189074106e+02  8.8821193177378543e-01  2.2082191413351420e+03  5.1476141732166858e-01  8.1705538723205370e+02  1.8706126680847666e+09 8.8192813002911844e+03  5.6697157072485793e-01  6.0058612295301483e-01 6.8060293304758619e-03 1.0000000000000000e+00 1 
     220  1.6505169102855857e-01  9.7089229922468637e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3  1055 5.17000000 6.5901539558336372e+04  7.9320366228834516e-01  5.8678836616034130e+02  9.4527466878521749e-01  2.0828434998797766e+03  4.8553490547549566e-01  8.8013499066578470e+02  2.0150306685347016e+09 8.4327762783415656e+03  5.4212404041866558e-01  4.5010427114063056e-01 7.3736767259155855e-03 1.0000000000000000e+00 1 
     240  1.8446953700957966e-01  9.7089229889778814e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   3  1170 5.71500000 6.4912766019228940e+04  7.8130259294079896e-01  5.5399925433274962e+02  8.9245372240994658e-01  1.9328535221092834e+03  4.5057050719820235e-01  9.3827472067735050e+02  2.1481390442680774e+09 7.9515232658287732e+03  5.1118537692332622e-01  2.1241272816932760e-01 7.9085450340984527e-03 1.0000000000000000e+00 1 
     260  2.0388737892429193e-01  9.7089062905017639e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   4  1294 6.34000000 6.3497777210113025e+04  7.6427151425872608e-01  6.9040578407686689e+02  1.1121950203974016e+00  2.2584799808753678e+03  5.2647780022642887e-01  8.7650796438312113e+02  2.0067267500759890e+09 9.6933818533468329e+03  6.2316551064613768e-01  1.0428232956101230e-01 3.0408363177279051e-03 1.0000000000000000e+00 1 
     280  2.2321545387906297e-01  9.3901482283812419e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   6  1446 7.04700000 7.4050591065882472e+04  8.9128722062828492e-01  9.8416823303008618e+02  1.5854256051358697e+00  2.5302565106136194e+03  5.8983205208670397e-01  7.9508457905739442e+02  1.8203114611631539e+09 1.1121837426032675e+04  7.1499767612311682e-01  2.1141249926561828e-01 6.0755696303180264e-03 6.1497775701535062e-01 1 
     300  2.3495183933527866e-01  4.6980692571589751e-04 1.0000000000000000e+00 1.0000000000000000e-02   0   4  1622 7.85900000 1.2232921760091167e+05  1.4723780970248477e+00  1.7604721859318747e+03  2.8359965166855630e+00  5.1419979344645753e+03  1.1986591797269255e+00  1.4535227192746750e+03  3.3277768612912922e+09 1.9860847410520430e+04  1.2768087862100179e+00  1.7964410783873581e-02 3.1652066345142452e-03 9.5773318854830336e-01 1 
